,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
14,,,,,,,,,Chaparral,"Scottsdale, Ariz.",5-5,,,,,,,Julee Morrison 2,17.0,,,DS,,,,,Jr.,,,,2013 Augustana Volleyball Roster
15,,,,,,,,,HS,"Buffalo Grove, Ill.",5-9,,,,,,,Paige Smith,19.0,,,OH,,,,,So.,,,,2013 Augustana Volleyball Roster
16,,,,,,,,,HS,"Moline, Ill.",5-9,,,,,,,Rachel Butter,20.0,,,OH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
17,,,,,,,,,HS,"Black River Falls, Wis.",5-11,,,,,,,Morgan Stittleburg 3,23.0,,,RS,,,,,Sr.,,,,2013 Augustana Volleyball Roster
18,,,,,,,,,HS,"Manteno, Ill.",6-0,,,,,,,Amber Hopf,24.0,,,MH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
19,,,,,,,,,Trinity,"Forest Park, Ill.",6-1,,,,,,,Jacqueline Kibir-Evans,26.0,,,MH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
20,,,,,,,,,Christian Life,"Lindenhurst, Ill.",5-8,,,,,,,Amanda Stieber,28.0,,,RS,,,,,So.,,,,2013 Augustana Volleyball Roster
21,,,,,,,,,Rockford Guilford,"Caledonia, Ill.",5-9,,,,,,,Amanda Livingston,29.0,,,OH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
22,,,,,,,,,Glenbard North,"Carol Stream, Ill.",5-3,,,,,,,Desirae Dowding,30.0,,,DS,,,,,So.,,,,2013 Augustana Volleyball Roster
0,,,,,,,,,,,,Lyons Township,"Countryside, Ill.",,,,,,,Andrew Allabastro 2,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
1,,,,,,,,,,,,Belgrade-Brooten-Elrosa,"Belgrade, Minn.",,,,,,,Grant Bell 1,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
2,,,,,,,,,,,,Mount Vernon,"Mount Vernon, Iowa",,,,,,,Thomas Bernard,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
3,,,,,,,,,,,,Glenbard West,"Wheaton, Ill.",,,,,,,Brandon Bonifer,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
4,,,,,,,,,,,,Dubuque Senior,"Dubuque, Iowa",,,,,,,Andrew Brimeyer 2,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
5,,,,,,,,,,,,Sandburg,"Orland Park, Ill.",,,,,,,John Burch,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
6,,,,*,,,,,,,,Winnebago,"Winnebago, Ill.",,,,,,,Tyler Busch 3,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
7,,,,,,,,,,,,Riverside-Brookfield,"Riverside, Ill.",,,,,,,Keegan Buttimer,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
8,,,,,,,,,,,,Glenbrook North,"Northbrook, Ill.",,,,,,,Alex Cintado,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
9,,,,,,,,,,,,Quincy Notre Dame,"Quincy, Ill.",,,,,,,Mitch Dietrich 2,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
10,,,,,,,,,,,,Mercer County,"Aledo, Ill.",,,,,,,Jordan Franks,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
11,,,,,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Nick Gornick 2,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
12,,,,,,,,,,,,University,"Bloomington, Ill.",,,,,,,Alex Gorsuch 1,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
13,,,,,,,,,,,,Geneva,"Geneva, Ill.",,,,,,,Dan Herrera,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
14,,,,,,,,,,,,Willowbrook,"Villa Park, Ill.",,,,,,,Tim Hyde,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
15,,,,,,,,,,,,Prospect,"Mt. Prospect, Ill.",,,,,,,Ethan Koch 1,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
16,,,,,,,,,,,,Maine South,"Park Ridge, Ill.",,,,,,,Stephen Lavelle,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
17,,,,,,,,,,,,St. Bede Academy,"Peru, Ill.",,,,,,,Szymon Ligas,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
18,,,,,,,,,,,,Mount Carmel,"Chicago, Ill.",,,,,,,Brian Lovejoy,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
19,,,,,,,,,,,,Naperville Central,"Naperville, Ill.",,,,,,,Ryan Maher,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
20,,,,,,,,,,,,Geneva,"Geneva, Ill.",,,,,,,Jordan Midgley,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
21,,,,,,,,,,,,Ironwood Ridge,"Tucson, Ariz.",,,,,,,Alexander Odenkirk 2,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
22,,,,,,,,,,,,Havana,"Havana, Ill.",,,,,,,Tanner Osing,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
23,,,,,,,,,,,,Minooka,"Minooka, Ill.",,,,,,,Dan Popek 1,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
24,,,,,,,,,,,,Dunlap,"Dunlap, Ill.",,,,,,,Joseph Puetz,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
25,,,,,,,,,,,,Thomas Jefferson,"Carthage, Mo.",,,,,,,Chris Saladin,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
26,,,,,,,,,,,,Riverdale,"Port Byron, Ill.",,,,,,,Mitch Sand,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
27,,,,,,,,,,,,United Township,"Silvis, Ill.",,,,,,,Keith Sands 1,,,,,,,,,So.,,2013 Augustana Men\'s Cross Country Roster
28,,,,,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Cody Sharko,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
29,,,,,,,,,,,,York,"Elmhurst, Ill.",,,,,,,Matthew Simo 1,,,,,,,,,Jr.,,2013 Augustana Men\'s Cross Country Roster
30,,,,,,,,,,,,Fenton,"Bensenville, Ill.",,,,,,,Wade Smith,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
31,,,,,,,,,,,,Glenbard West,"Glen Ellyn, Ill.",,,,,,,Alex Stockwell 2,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
32,,,,*,,,,,,,,Willowbrook,"Lombard, Ill.",,,,,,,Isaac Trostle 3,,,,,,,,,Sr.,,2013 Augustana Men\'s Cross Country Roster
33,,,,,,,,,,,,Moline,"Moline, Ill.",,,,,,,Matt Tuttle-Timm,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
34,,,,,,,,,,,,Geneva,"Geneva, Ill.",,,,,,,Nathan Wendt,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
35,,,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",,,,,,,Michael Whaley,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
36,,,,,,,,,,,,Harvard,"Harvard, Ill.",,,,,,,Tim Wiltshire,,,,,,,,,Fr.,,2013 Augustana Men\'s Cross Country Roster
0,,,,*,,,,,,,,Bettendorf,"Bettendorf, Iowa",6-1,,,,,,Tyler Cowherd 3,1.0,,GK,,175,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
1,,,,,,,,,,,,Libertyville,"Libertyville, Ill.",5-11,,,,,,Adam Witucki,2.0,,D,,155,,,,So.,,2013 Augustana Men\'s Soccer Roster
2,,,,,,,,,,,,Lisle,"Lisle, Ill.",5-6,,,,,,Cole Collins 1,3.0,,M,,145,,,,So.,,2013 Augustana Men\'s Soccer Roster
3,,,,,,,,,,,,Stevenson,"Buffalo Grove, Ill.",6-2,,,,,,Anthony D'Angelo,4.0,,D,,203,,,,So.,,2013 Augustana Men\'s Soccer Roster
4,,,,,,,,,,,,Cary-Grove,"Cary, Ill.",5-10,,,,,,Erik Gustafson 1,5.0,,D,,150,,,,So.,,2013 Augustana Men\'s Soccer Roster
5,,,,,,,,,,,,Plainfield East,"Bolingbrook, Ill.",5-6,,,,,,Dominick Sullivan,6.0,,M,,145,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
6,,,,,,,,,,,,South Elgin,"Elgin, Ill.",5-9,,,,,,Matt Shipon 3,7.0,,M,,170,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
7,,,,,,,,,,,,Glenbard West,"Glen Ellyn, Ill.",5-11,,,,,,Grant Halter 3,8.0,,M,,138,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
8,,,,,,,,,,,,Lincoln-Way North,"Tinley Park, Ill.",5-8,,,,,,D.J. Lawlor 1,9.0,,F,,128,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
9,,,,,,,,,,,,Lincoln-Way North,"Frankfort, Ill.",5-6,,,,,,Kyle Polanco 2,10.0,,D,,136,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
10,,,,,,,,,,,,Glenbard North,"Carol Stream, Ill.",5-7,,,,,,Jonathan Colucci,11.0,,F,,145,,,,So.,,2013 Augustana Men\'s Soccer Roster
11,,,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",6-2,,,,,,Vincenzo Dal Pozzo 2,12.0,,F,,160,,,,Jr.,,2013 Augustana Men\'s Soccer Roster
12,,,,,,,,,,,,Carmel,"Mundelein, Ill.",5-10,,,,,,Gabriel Brouillette 1,13.0,,F,,150,,,,So.,,2013 Augustana Men\'s Soccer Roster
13,,,,,,,,,,,,Romeoville,"Romeoville, Ill.",5-9,,,,,,Nicolas Miller,14.0,,D,,150,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
14,,,,,,,,,,,,Glenbard North,"Carol Stream, Ill.",5-11,,,,,,Danny Campagna,15.0,,D,,160,,,,So.,,2013 Augustana Men\'s Soccer Roster
15,,,,,,,,,,,,Oswego,"Oswego, Ill.",5-9,,,,,,Nathan Kyes 2,16.0,,M,,150,,,,Jr.,,2013 Augustana Men\'s Soccer Roster
16,,,,,,,,,,,,Lincoln-Way West,"New Lenox, Ill.",5-10,,,,,,Ryan Curry,17.0,,D,,150,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
17,,,,,,,,,,,,Naperville Central,"Naperville, Ill.",5-8,,,,,,Rahul Bhatia,18.0,,M/F,,135,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
18,,,,,,,,,,,,Glenbard South,"Glen Ellyn, Ill.",6-5,,,,,,Evan Johnson 3,19.0,,D,,170,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
19,,,,,,,,,,,,Riverside-Brookfield,"Riverside, Ill.",5-9,,,,,,Jake Fieseler,20.0,,M,,145,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
20,,,,,,,,,,,,Assumption,"Davenport, Iowa",5-11,,,,,,Adam Bengfort 2,21.0,,D,,175,,,,Jr.,,2013 Augustana Men\'s Soccer Roster
21,,,,,,,,,,,,Plainfield East,"Plainfield, Ill.",5-8,,,,,,Michael Brazinski,22.0,,M/F,,145,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
22,,,,,,,,,,,,Geneva,"Geneva, Ill.",5-7,,,,,,Ryan Muzzarelli 1,23.0,,D,,140,,,,So.,,2013 Augustana Men\'s Soccer Roster
23,,,,,,,,,,,,Notre Dame Prep,"Scottsdale, Ariz.",5-11,,,,,,Michael Buric 3,24.0,,D,,180,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
24,,,,,,,,,,,,Lisle,"Lisle, Ill.",5-9,,,,,,Jacob Krpan,25.0,,M,,140,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
25,,,,,,,,,,,,Downers Grove South,"Darien, Ill.",6-3,,,,,,Patrick Conniff,26.0,,F,,175,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
26,,,,,,,,,,,,St. James Academy,"Liberty, Mo.",5-6,,,,,,Ian Deggendorf,27.0,,F,,140,,,,So.,,2013 Augustana Men\'s Soccer Roster
27,,,,,,,,,,,,Yorkville,"Montgomery, Ill.",5-9,,,,,,Jeremy Koranda,28.0,,M,,155,,,,So.,,2013 Augustana Men\'s Soccer Roster
28,,,,,,,,,,,,Jacksonville,"Jacksonville, Ill.",5-11,,,,,,Patrick Nelson 1,29.0,,F,,160,,,,So.,,2013 Augustana Men\'s Soccer Roster
29,,,,,,,,,,,,Jacksonville,"Jacksonville, Ill.",5-11,,,,,,Adam Metz,30.0,,M,,160,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
30,,,,,,,,,,,,Evangelic Gymnasium Hermannswerder,"Potsdam, Germany",5-10,,,,,,Fridolin Wernick,32.0,,F,,154,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
31,,,,,,,,,,,,Galesburg,"Galesburg, Ill.",6-0,,,,,,Andrew Smith 1,33.0,,M,,165,,,,So.,,2013 Augustana Men\'s Soccer Roster
32,,,,,,,,,,,,Oswego,"Oswego, Ill.",5-10,,,,,,Jake Lewis,34.0,,D,,160,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
33,,,,,,,,,,,,Danville,"Tilton, Ill.",5-9,,,,,,Luke Robinson,35.0,,D,,150,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
34,,,,,,,,,,,,Lincoln-Way East,"Frankfort, Ill.",5-10,,,,,,Michael Roth,36.0,,M,,145,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
35,,,,,,,,,,,,Zion Benton,"Beach Park, Ill.",6-1,,,,,,Brett Johnson,37.0,,GK,,160,,,,Jr.,,2013 Augustana Men\'s Soccer Roster
36,,,,,,,,,,,,Plainfield East,"Plainfield, Illinois",5-9,,,,,,Brandon Day,,,D,,160,,,,Fr.,,2013 Augustana Men\'s Soccer Roster
37,,,,*,,,,,,,,Plainfield North,"Plainfield, Ill.",5-11,,,,,,Adam Wilson 2,,,M/F,,155,,,,Sr.,,2013 Augustana Men\'s Soccer Roster
0,,,,,,,Diving,,,,,Linn Mar,"Marion, Iowa",,,,,,,Adelia Clark,,,,,,,,,Fr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
1,,,,,,,Middle Distance Freestyle,,,,,Benet Academy,"Naperville, Ill.",,,,,,,Molly Clennon,,,,,,,,,Sr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
2,,,,,,,Butterfly/Freestyle,,,,,Muscatine,"Muscatine, Iowa",,,,,,,Beth Cole,,,,,,,,,So.,,2012-13 Augustana Women\'s Swimming and Diving Roster
3,,,,,,,Breaststroke/Freestyle,,,,,Midland,"Charleston, Ill.",,,,,,,Mackenzie Corrie,,,,,,,,,So.,,2012-13 Augustana Women\'s Swimming and Diving Roster
4,,,,,,,Distance Freestyle,,,,,Oswego,"Oswego, Ill.",,,,,,,Erin Doty,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
5,,,,,,,Freestyle,,,,,Moline,"Moline, Ill.",,,,,,,Hannah Estes,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
6,,,,,,,Sprint Freestyle,,,,,Waubonsie Valley,"Naperville, Ill.",,,,,,,Hillary Ferguson,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
7,,,,,,,Freestyle,,,,,Lincoln-Way Central,"Downers Grove, Ill.",,,,,,,Jamie Graf,,,,,,,,,So.,,2012-13 Augustana Women\'s Swimming and Diving Roster
8,,,,,,,Freestyle/Butterfly,,,,,Dundee Crown,"Algonquin, Ill.",,,,,,,Danna Jensen,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
9,,,,,,,Breaststroke,,,,,Appleton North,"Appleton, Wis.",,,,,,,Jordan Johnson,,,,,,,,,Fr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
10,,,,,,,Backstroke/Sprint Freestyle,,,,,Fenton,"Bensenville, Ill.",,,,,,,Hollyann Kabbe,,,,,,,,,Sr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
11,,,,,,,Diving,,,,,Lincoln-Way East,"Mokena, Ill.",,,,,,,Megan McGregor,,,,,,,,,Fr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
12,,,,,,,Backstroke,,,,,Buffalo Grove,"Buffalo Grove, Ill.",,,,,,,Kristin Molloy,,,,,,,,,Fr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
13,,,,,,,Diving,,,,,Pecatonica,"Rock City, Ill.",,,,,,,Helen Myers,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
14,,,,,,,Breaststroke/Freestyle,,,,,Resurrection,"Chicago, Ill.",,,,,,,Ariana Nelson,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
15,,,,,,,Butterfly/I.M./Freestyle,,,,,Eden Prairie,"Eden Prairie, Minn.",,,,,,,Emma Novak,,,,,,,,,Fr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
16,,,,,,,Breaststroke/Freestyle,,,,,Fremont,"Fremont, Neb.",,,,,,,Laura Pemberton,,,,,,,,,So.,,2012-13 Augustana Women\'s Swimming and Diving Roster
17,,,,,,,Sprint Freestyle/Breaststroke,,,,,Coal City,"Coal City, Ill.",,,,,,,Alexandra Piper,,,,,,,,,Sr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
18,,,,,,,Freestyle,,,,,Mahomet-Seymour,"Mahomet, Ill.",,,,,,,Katie Pittman,,,,,,,,,Jr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
19,,,,,,,Butterfly/I.M./Freestyle,,,,,Grayslake North,"Lake Villa, Ill.",,,,,,,Emma Regnier,,,,,,,,,Sr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
20,,,,,,,Butterfly/Freestyle,,,,,Crystal Lake Central,"Lake in the Hills, Ill.",,,,,,,Alexis Thompson,,,,,,,,,So.,,2012-13 Augustana Women\'s Swimming and Diving Roster
21,,,,,,,I.M./Breaststroke/Freestyle,,,,,West Aurora,"North Aurora, Ill.",,,,,,,Emily Timmons,,,,,,,,,Sr.,,2012-13 Augustana Women\'s Swimming and Diving Roster
0,,R-R,,,,,,,,,,Glenbard East,"Lombard, Ill.",5-10,,,,,,Jeremy Juhl 3,1,,IF,,166,,,,Sr.,,2013 Augustana Baseball Roster
1,,R-R,,,,,,,,,,Central DeWitt,"DeWitt, Iowa",6-0,,,,,,Brandon Jasper 1,2,,OF,,184,,,,So.,,2013 Augustana Baseball Roster
2,,L-L,,,,,,,,,,Alleman,"Moline, Ill.",6-3,,,,,,Mark VanNatta 1,3,,OF,,183,,,,Sr.,,2013 Augustana Baseball Roster
3,,R-R,,,,,,,,,,Geneva,"Geneva, Ill.",6-1,,,,,,John Swiderski,4,,C,,200,,,,Fr.,,2013 Augustana Baseball Roster
4,,L-R,,,,,,,,,,Sherrard,"Sherrard, Ill.",6-0,,,,,,Trace Gingerich,5,,IF,,174,,,,Fr.,,2013 Augustana Baseball Roster
5,,R-R,,,,,,,,,,Grayslake Central,"Grayslake, Ill.",5-10,,,,,,Kurt Schmidt 3,6,,IF,,162,,,,Sr.,,2013 Augustana Baseball Roster
6,,R-R,,,,,,,,,,Rock Canyon,"Lone Tree, Colo.",5-10,,,,,,Jeff Prior,7,,IF,,170,,,,Fr.,,2013 Augustana Baseball Roster
7,,R-R,,,,,,,,,,Mullen,"Littleton, Colo.",5-10,,,,,,Jim Sandberg 3,8,,C,,184,,,,Sr.,,2013 Augustana Baseball Roster
8,,R-R,,,,,,,,,,Romeoville,"Romeoville, Ill.",6-0,,,,,,Kyle Lenihan 1,9,,IF,,191,,,,So.,,2013 Augustana Baseball Roster
9,,R-R,,,,,,,,,,Libertyville,"Libertyville, Ill.",6-2,,,,,,Darwin Townsend,11,,P,,209,,,,Fr.,,2013 Augustana Baseball Roster
10,,L-L,,,,,,,,,,Sterling,"Sterling, Ill.",6-2,,,,,,Grant Stewart 1,12,,IF,,202,,,,Sr.,,2013 Augustana Baseball Roster
11,,R-R,,,,,,,,,,Sherrard,"Matherville, Ill.",6-0,,,,,,Michael Baugh,13,,IF,,208,,,,Fr.,,2013 Augustana Baseball Roster
12,,R-R,,,,,,,,,,Peoria Notre Dame,"East Peoria, Ill.",6-3,,,,,,Zach Morgenstern,14,,P,,166,,,,Fr.,,2013 Augustana Baseball Roster
13,,R-R,,,,,,,,,,East Peoria,"East Peoria, Ill.",5-11,,,,,,Walter White,15,,P,,177,,,,Fr.,,2013 Augustana Baseball Roster
14,,R-R,,,,,,,,,,Warren,"Old Mill Creek, Ill.",6-2,,,,,,Jimmy Nickell,16,,P,,147,,,,Fr.,,2013 Augustana Baseball Roster
15,,R-R,,,,,,,,,,Schaumburg,"Schaumburg, Ill.",5-8,,,,,,Jordan Grubb,17,,OF,,154,,,,Fr.,,2013 Augustana Baseball Roster
16,,R-R,,,,,,,,,,Wilmington,"Wilmington, Ill.",6-1,,,,,,Jacob Van Duyne 2,18,,OF,,190,,,,Jr.,,2013 Augustana Baseball Roster
17,,L-L,,,,,,,,,,Waubonsie Valley,"Aurora, Ill.",6-3,,,,,,Michael Murphy,19,,P,,179,,,,So.,,2013 Augustana Baseball Roster
18,,R-R,,,,,,,,,,Bloomington Central Catholic,"Heyworth, Ill.",5-11,,,,,,Ben Heaton 3,20,,P,,169,,,,Sr.,,2013 Augustana Baseball Roster
19,,R-R,,,,,,,,,,Lincoln-Way West,"New Lenox, Ill.",6-0,,,,,,Danny Fifer,21,,OF,,168,,,,So.,,2013 Augustana Baseball Roster
20,,L-L,,,,,,,,,,Mullen,"Aurora, Colo.",5-10,,,,,,Seth Davis 1,23,,P,,172,,,,So.,,2013 Augustana Baseball Roster
21,,R-R,,,,,,,,,,Neuqua Valley,"Naperville, Ill.",6-1,,,,,,Kevin Hodgman 1,24,,P,,186,,,,So.,,2013 Augustana Baseball Roster
22,,R-R,,,,,,,,,,Romeoville,"Montgomery, Ill.",5-10,,,,,,Joe Cecchi 3,25,,IF,,172,,,,Sr.,,2013 Augustana Baseball Roster
23,,R-R,,,,,,,,,,Morris,"Shorewood, Ill.",6-0,,,,,,David Balzer 2,26,,IF,,205,,,,Sr.,,2013 Augustana Baseball Roster
24,,R-R,,,,,,,,,,St. Charles North,"South Elgin, Ill.",6-0,,,,,,Justin Wightman,27,,P,,185,,,,So.,,2013 Augustana Baseball Roster
25,,R-R,,,,,,,,,,Hinsdale Central,"Burr Ridge, Ill.",6-0,,,,,,Jacques Camalick 1,28,,OF,,183,,,,So.,,2013 Augustana Baseball Roster
26,,R-R,,,,,,,,,,La Salle-Peru,"Peru, Ill.",5-10,,,,,,Tyler Bernal,29,,OF,,160,,,,Sr.,,2013 Augustana Baseball Roster
27,,R-R,,,,,,,,,,Richmond-Burton,"Spring Grove, Ill.",6-0,,,,,,Kevin Kurowski,30,,IF,,154,,,,So.,,2013 Augustana Baseball Roster
28,,R-R,,,,,,,,,,Oswego East,"Aurora, Ill.",6-1,,,,,,Eric Egan 1,31,,P,,193,,,,So.,,2013 Augustana Baseball Roster
29,,R-L,,,,,,,,,,Lake Zurich,"Hawthorn Woods, Ill.",6-1,,,,,,Rick Erickson 3,32,,P,,243,,,,Sr.,,2013 Augustana Baseball Roster
30,,R-R,,,,,,,,,,Coal City,"Morris, Ill.",5-9,,,,,,Brandon Tidaback,33,,IF,,163,,,,Fr.,,2013 Augustana Baseball Roster
31,,R-R,,,,,,,,,,Lincoln-Way East,"Frankfort, Ill.",6-0,,,,,,Brandon Bollman,34,,P,,184,,,,Fr.,,2013 Augustana Baseball Roster
32,,R-R,,,,,,,,,,Mundelein,"Mundelein, Ill.",5-11,,,,,,Torr Randau,35,,OF,,192,,,,Fr.,,2013 Augustana Baseball Roster
33,,L-R,,,,,,,,,,Downers Grove South,"Downers Grove, Ill.",5-11,,,,,,Nick Tenerelli 1,36,,C,,169,,,,So.,,2013 Augustana Baseball Roster
34,,L-L,,,,,,,,,,Metea Valley,"Naperville, Ill.",6-0,,,,,,Tom Bolle,37,,P,,185,,,,Fr.,,2013 Augustana Baseball Roster
35,,R-R,,,,,,,,,,Downers Grove South,"Downers Grove, Ill.",5-8,,,,,,Brett Bialek,38,,IF,,186,,,,Fr.,,2013 Augustana Baseball Roster
36,,R-R,,,,,,,,,,Chicago Christian,"Midlothian, Ill.",6-3,,,,,,Trent Overzet,39,,P,,205,,,,Fr.,,2013 Augustana Baseball Roster
37,,R-R,,,,,,,,,,McHenry,"McHenry, Ill.",6-4,,,,,,Jamie Rammel,40,,P,,184,,,,Fr.,,2013 Augustana Baseball Roster
38,,L-R,,,,,,,,,,Assumption,"Davenport, Iowa",6-1,,,,,,Jared McIntosh 3,42,,P/OF,,190,,,,Sr.,,2013 Augustana Baseball Roster
39,,L-L,,,,,,,,,,Rock Canyon,"Littleton, Colo.",6-2,,,,,,Chris Sauer,43,,P,,178,,,,Fr.,,2013 Augustana Baseball Roster
40,,L-R,,,,,,,,,,Holy Family,"Brighton, Colo.",6-0,,,,,,Garrett West,45,,IF,,195,,,,Fr.,,2013 Augustana Baseball Roster
41,,L-L,,,,,,,,,,Plainfield North,"Plainfield, Ill.",6-3,,,,,,Joe Pursel,46,,P/IF,,178,,,,Fr.,,2013 Augustana Baseball Roster
42,,R-R,,,,,,,,,,Plano,"Plano, Ill.",5-6,,,,,,Devin Ambrose,47,,IF,,152,,,,Fr.,,2013 Augustana Baseball Roster
43,,L-R,,,,,,,,,,Harlem,"Loves Park, Ill.",5-10,,,,,,Alex Fleuhr,48,,IF,,148,,,,Fr.,,2013 Augustana Baseball Roster
44,,R-R,,,,,,,,,,Stevenson,"Buffalo Grove, Ill.",6-2,,,,,,Anthony D'Angelo,49,,OF,,203,,,,Fr.,,2013 Augustana Baseball Roster
45,,L-L,,,,,,,,,,Marmion Academy,"LaGrange, Ill.",6-2,,,,,,Chris Simon,50,,P,,184,,,,Fr.,,2013 Augustana Baseball Roster
46,,R-R,,,,,,,,,,Serena,"Serena, Ill.",5-10,,,,,,Jake Berggren,51,,IF,,150,,,,Fr.,,2013 Augustana Baseball Roster
47,,L-R,,,,,,,,,,Westminster Christian,"Algonquin, Ill.",5-7,,,,,,Tyler Greene,52,,IF,,154,,,,Fr.,,2013 Augustana Baseball Roster
48,,L-S,,,,,,,,,,Mt. Carmel,"Mt. Carmel, Ill.",6-1,,,,,,Travis Thompson,54,,P/IF,,173,,,,Fr.,,2013 Augustana Baseball Roster
49,,L-R,,,,,,,,,,Erie,"Erie, Ill.",5-11,,,,,,Caleb Miner,57,,IF,,150,,,,Fr.,,2013 Augustana Baseball Roster
0,,,,,,,,,,,,Byron,"Byron, Ill.",5-9,,,,,,Hunter Hill,14.0,,G,,157,,,,Fr.,,2012-13 Augustana Men\'s Basketball Roster
1,,,,,,,,,,,,Washington,"Metamora, Ill.",6-0,,,,,,Mark Roth 1,20.0,,G,,164,,,,So.,,2012-13 Augustana Men\'s Basketball Roster
2,,,,,,,,,,,,Highland Park,"Highland Park, Ill.",6-0,,,,,,Jake Norcia,22.0,,G,,160,,,,Fr.,,2012-13 Augustana Men\'s Basketball Roster
